Year,Competition,Discipline,Round,Rank,SkaterName,SkaterNation,StartingNumber,TSS,TES,PCS,DED,PC,Factor,PScoreofPanel,PScore,Role
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.50,J1
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.75,J2
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.75,J3
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.75,J4
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.50,J5
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.50,J6
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.50,J7
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.75,J8
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Interpretation,1.60,6.64,6.75,J9
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.75,J1
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.50,J2
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.75,J3
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.50,J4
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.75,J5
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.75,J6
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.75,J7
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,5.25,J8
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Skating,1.60,5.68,6.25,J9
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.25,J1
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.25,J2
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,6.50,J3
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.75,J4
2021,2021gpcan,Pairs,FS,8,ZoeJONES/ChristopherBOYADJI,GBR,1,85.88,42.66,45.22,-2.00,Transitions,1.60,5.61,5.50,J5
